generation,N_shifts,logPrior
15001,0,-6.38445
35001,0,-4.09071
55001,0,-3.60197
75001,1,-6.62281
95001,0,-6.13343
115001,0,-2.48368
135001,1,-6.23944
155001,1,-4.35425
175001,0,-3.02289
195001,2,-10.8145
215001,2,-6.12173
235001,0,-5.87158
255001,1,-7.40779
275001,0,-4.03756
295001,0,-2.80005
315001,2,-8.62259
335001,1,-5.21173
355001,2,-12.6232
375001,1,-5.19517
395001,1,-10.0375
415001,0,-5.34073
435001,1,-7.72228
455001,1,-10.9002
475001,0,-5.66887
495001,1,-4.92241
515001,2,-6.58179
535001,1,-3.81516
555001,0,-1.10447
575001,1,-5.6441
595001,0,-6.05727
615001,0,-3.70901
635001,1,-4.11613
655001,3,-12.1672
675001,2,-8.78761
695001,3,-15.9515
715001,0,-4.27107
735001,1,-3.7426
755001,1,-5.14653
775001,0,-4.84383
795001,1,-6.08033
815001,0,-3.44303
835001,2,-10.2825
855001,1,-5.61607
875001,0,-4.05625
895001,3,-13.1541
915001,1,-5.12258
935001,0,-2.16486
955001,1,-7.27467
975001,1,-4.27318
995001,1,-10.3704
1015001,1,-5.95193
1035001,0,-4.55871
1055001,1,-4.43433
1075001,2,-6.10554
1095001,2,-7.90779
1115001,0,-4.8611
1135001,2,-7.57359
1155001,0,-2.97267
1175001,0,-8.67602
1195001,1,-3.70665
1215001,1,-6.88584
1235001,0,-2.17394
1255001,1,-7.52992
1275001,2,-7.76391
1295001,0,-4.0204
1315001,2,-7.85371
1335001,2,-11.4525
1355001,0,-3.3205
1375001,0,-4.01649
1395001,3,-11.0362
1415001,2,-8.57065
1435001,2,-14.8328
1455001,1,-2.88648
1475001,0,-4.26828
1495001,2,-10.2325
1515001,1,-9.57573
1535001,2,-10.4899
1555001,3,-14.6841
1575001,2,-9.34352
1595001,1,-8.37898
1615001,2,-7.41455
1635001,0,-4.93631
1655001,0,-2.99566
1675001,0,-6.80343
1695001,0,-4.61413
1715001,0,-4.28906
1735001,2,-10.3733
1755001,1,-5.67411
1775001,0,-3.12984
1795001,0,-3.7014
1815001,1,-4.9037
1835001,0,-5.72201
1855001,0,-3.52101
1875001,1,-5.88785
1895001,2,-12.0731
1915001,1,-7.28171
1935001,0,-4.01245
1955001,2,-13.4673
1975001,0,-0.952562
1995001,2,-8.90403
2015001,3,-14.1785
2035001,2,-11.1382
2055001,3,-13.4568
2075001,0,-4.23688
2095001,0,-4.87411
2115001,2,-7.54966
2135001,3,-14.3909
2155001,2,-10.9778
2175001,0,-3.31418
2195001,1,-8.43223
2215001,2,-12.2098
2235001,2,-7.14732
2255001,0,-6.38168
2275001,3,-20.142
2295001,1,-5.30617
2315001,2,-14.1743
2335001,0,-2.71853
2355001,0,-4.23039
2375001,0,-7.29548
2395001,0,-3.89845
2415001,1,-5.30171
2435001,3,-10.564
2455001,2,-10.6539
2475001,1,-8.53151
2495001,0,-6.28275
2515001,1,-3.4849
2535001,1,-5.16924
2555001,0,-5.87196
2575001,1,-9.53658
2595001,3,-11.2393
2615001,1,-4.72625
2635001,2,-5.45557
2655001,0,-5.28053
2675001,0,-2.87463
2695001,0,-3.75928
2715001,0,-1.13387
2735001,2,-9.0211
2755001,0,-2.57401
2775001,1,-6.73806
2795001,1,-9.67254
2815001,1,-15.7165
2835001,1,-6.04191
2855001,3,-16.1812
2875001,2,-13.5916
2895001,0,-1.8446
2915001,0,-3.90779
2935001,0,-5.12225
2955001,0,-3.83121
2975001,1,-5.39505
2995001,1,-4.33714
3015001,0,-3.49917
3035001,1,-6.74535
3055001,0,-3.45336
3075001,0,-3.05007
3095001,1,-4.52806
3115001,1,-4.06566
3135001,0,-6.03705
3155001,2,-16.3108
3175001,1,-3.5906
3195001,0,-4.10894
3215001,1,-3.97638
3235001,0,-2.90675
3255001,1,-6.9717
3275001,2,-9.54826
3295001,0,-3.08238
3315001,0,-2.11009
3335001,1,-10.1767
3355001,1,-3.56278
3375001,0,-2.03642
3395001,2,-8.9067
3415001,0,-1.66896
3435001,2,-9.52106
3455001,1,-5.08477
3475001,0,-3.16207
3495001,1,-4.70921
3515001,0,-3.92791
3535001,2,-10.4579
3555001,1,-3.42641
3575001,3,-14.0798
3595001,1,-6.5051
3615001,1,-5.70216
3635001,0,-8.35803
3655001,2,-8.11801
3675001,2,-5.83044
3695001,0,-2.81203
3715001,1,-8.39872
3735001,0,-4.83246
3755001,1,-8.37833
3775001,1,-3.03427
3795001,5,-15.7708
3815001,1,-7.80743
3835001,0,-4.69237
3855001,0,-1.54836
3875001,0,-2.46344
3895001,2,-11.2443
3915001,1,-7.48725
3935001,0,-4.84812
3955001,3,-8.64912
3975001,2,-14.6507
3995001,0,-2.72591
4015001,1,-10.5426
4035001,2,-7.41609
4055001,0,-3.37129
4075001,0,-10.7278
4095001,2,-5.3751
4115001,0,-1.61507
4135001,4,-11.5223
4155001,0,-2.43986
4175001,1,-6.94985
4195001,2,-7.21722
4215001,1,-6.13703
4235001,0,-3.17474
4255001,0,-3.84757
4275001,3,-16.3153
4295001,1,-5.95056
4315001,1,-7.02089
4335001,2,-9.07284
4355001,1,-6.40993
4375001,1,-4.37586
4395001,0,-4.71516
4415001,2,-11.6943
4435001,1,-6.58867
4455001,0,-5.99462
4475001,0,-3.65628
4495001,1,-4.46296
4515001,1,-9.59639
4535001,0,-2.27329
4555001,1,-7.99457
4575001,0,-2.24891
4595001,0,-4.56792
4615001,0,-2.06363
4635001,1,-3.39254
4655001,0,-3.86951
4675001,1,-8.04919
4695001,1,-4.63613
4715001,0,-2.11518
4735001,1,-3.33422
4755001,2,-10.3744
4775001,2,-7.9249
4795001,1,-8.71673
4815001,0,-1.07235
4835001,0,-2.61717
4855001,0,-3.19857
4875001,0,-5.30058
4895001,0,-3.54086
4915001,0,-1.59217
4935001,0,-2.72512
4955001,3,-13.2778
4975001,1,-8.71391
4995001,3,-8.44807
